Time,ReactorFeedRateStream6,ReactorPressurekPagauge,ReactorLevel,ReactorTemperatureDegC,PurgeRateStream9,ProductSepTempDegC,StripperTemperatureDegC,CompressorWorkkW,abnormality_score,Recommended_Action
2004-01-05 04:00:00,42.251,2705.4,74.741,120.4,0.33574,80.163,65.743,341.65,4.28,System Normal
2004-01-05 04:01:00,42.362,2703.3,74.574,120.4,0.33422,79.916,65.726,341.43,100.0,ACTION: General anomaly detected. Operator to review all process variables.
2004-01-05 04:02:00,42.22,2704.3,74.365,120.38,0.33725,80.012,65.691,341.69,6.36,System Normal
2004-01-05 04:03:00,42.087,2703.5,75.58,120.42,0.33913,79.941,65.669,341.33,0.96,System Normal
2004-01-05 04:04:00,42.456,2703.9,74.727,120.39,0.34043,79.881,65.65,341.34,2.43,System Normal
2004-01-05 04:05:00,42.445,2709.0,74.406,120.39,0.3379,80.307,65.679,341.6,100.0,ACTION: Cross-reference with historical data for similar events.
2004-01-05 04:06:00,42.518,2710.1,74.686,120.43,0.34949,80.31,65.753,341.99,13.14,System Normal
2004-01-05 04:07:00,42.397,2710.6,75.221,120.38,0.34722,80.259,65.775,342.04,100.0,ACTION: Cross-reference with historical data for similar events.
2004-01-05 04:08:00,42.146,2707.6,74.589,120.41,0.34475,80.193,65.824,341.91,2.43,System Normal
2004-01-05 04:09:00,42.161,2705.4,73.984,120.38,0.34281,80.069,65.784,342.18,25.13,System Normal
2004-01-05 04:10:00,42.179,2703.6,74.529,120.39,0.3264,80.014,65.745,342.29,7.88,System Normal
2004-01-05 04:11:00,42.062,2701.5,75.709,120.38,0.32234,79.861,65.687,342.28,8.11,System Normal
2004-01-05 04:12:00,42.446,2699.8,75.097,120.37,0.35083,79.889,65.64,341.85,6.18,System Normal
2004-01-05 04:13:00,41.893,2703.5,74.749,120.4,0.35536,80.319,65.659,341.08,7.83,System Normal
2004-01-05 04:14:00,42.147,2704.4,74.512,120.38,0.32013,80.466,65.761,340.95,9.7,System Normal
2004-01-05 04:15:00,41.957,2705.0,75.193,120.38,0.32309,80.477,65.806,341.06,2.79,System Normal
2004-01-05 04:16:00,42.006,2702.8,75.433,120.44,0.33686,80.265,65.834,340.86,30.83,System Normal
2004-01-05 04:17:00,42.624,2698.8,75.768,120.39,0.33864,80.08,65.735,339.92,2.45,System Normal
2004-01-05 04:18:00,42.422,2698.3,75.578,120.42,0.35028,80.006,65.684,340.08,6.21,System Normal
2004-01-05 04:19:00,42.443,2695.9,75.195,120.38,0.34592,79.945,65.626,340.06,1.57,System Normal
2004-01-05 04:20:00,42.31,2696.3,75.367,120.4,0.33015,80.02,65.618,340.3,6.36,System Normal
2004-01-05 04:21:00,42.82,2697.1,76.022,120.39,0.33338,80.333,65.624,339.88,19.86,System Normal
2004-01-05 04:22:00,42.12,2696.8,75.615,120.39,0.32742,80.27,65.661,339.45,1.45,System Normal
2004-01-05 04:23:00,42.59,2696.4,75.614,120.37,0.32756,80.316,65.718,339.13,14.02,System Normal
2004-01-05 04:24:00,42.153,2698.4,74.596,120.4,0.33453,80.385,65.75,339.83,18.79,System Normal
2004-01-05 04:25:00,42.495,2697.8,74.683,120.41,0.33426,80.285,65.755,339.42,1.22,System Normal
2004-01-05 04:26:00,42.372,2698.9,75.842,120.42,0.33908,80.4,65.771,339.72,1.27,System Normal
2004-01-05 04:27:00,42.248,2696.0,75.091,120.37,0.33822,80.259,65.749,339.11,0.72,System Normal
2004-01-05 04:28:00,42.429,2697.1,76.349,120.42,0.33965,80.28,65.708,339.47,20.09,System Normal
2004-01-05 04:29:00,42.232,2697.7,75.428,120.41,0.34276,80.219,65.664,339.91,12.35,System Normal
2004-01-05 04:30:00,42.382,2696.7,74.925,120.43,0.33867,80.147,65.65,339.86,26.12,System Normal
2004-01-05 04:31:00,42.258,2695.5,75.033,120.4,0.33725,80.165,65.642,339.76,2.34,System Normal
2004-01-05 04:32:00,42.625,2695.5,74.899,120.4,0.35253,80.328,65.686,338.83,12.95,System Normal
2004-01-05 04:33:00,42.535,2694.7,74.387,120.44,0.35341,80.377,65.712,339.27,16.66,System Normal
2004-01-05 04:34:00,42.436,2696.8,74.802,120.39,0.33052,80.572,65.769,339.73,8.71,System Normal
2004-01-05 04:35:00,42.454,2697.4,74.299,120.43,0.33222,80.573,65.856,339.17,5.46,System Normal
2004-01-05 04:36:00,42.671,2697.5,75.455,120.37,0.33739,80.427,65.844,339.75,13.62,System Normal
2004-01-05 04:37:00,41.926,2696.5,74.9,120.41,0.33675,80.256,65.812,340.59,1.67,System Normal
2004-01-05 04:38:00,42.276,2696.0,74.611,120.39,0.35681,80.125,65.756,340.14,2.96,System Normal
2004-01-05 04:39:00,42.136,2697.5,73.935,120.39,0.35808,80.216,65.737,340.24,33.0,System Normal
2004-01-05 04:40:00,42.326,2700.3,74.39,120.42,0.31553,80.344,65.748,340.42,11.69,System Normal
2004-01-05 04:41:00,42.162,2701.6,74.553,120.41,0.31415,80.19,65.745,340.97,10.93,System Normal
2004-01-05 04:42:00,42.433,2701.9,74.446,120.39,0.35192,80.237,65.743,340.88,5.7,System Normal
2004-01-05 04:43:00,42.42,2704.9,75.487,120.45,0.3494,80.418,65.773,340.92,100.0,ACTION: Inform shift supervisor of the deviation.
2004-01-05 04:44:00,42.118,2705.4,75.36,120.39,0.33809,80.493,65.82,341.61,12.57,System Normal
2004-01-05 04:45:00,42.505,2705.3,75.04,120.44,0.3395,80.439,65.856,341.89,8.93,System Normal
2004-01-05 04:46:00,42.561,2701.0,75.548,120.37,0.35441,80.191,65.864,341.24,8.33,System Normal
2004-01-05 04:47:00,42.281,2699.6,75.25,120.41,0.35166,79.99,65.793,341.86,21.57,System Normal
2004-01-05 04:48:00,41.925,2701.1,75.175,120.37,0.32775,80.061,65.734,342.04,6.27,System Normal
2004-01-05 04:49:00,42.415,2701.7,74.346,120.42,0.32745,80.113,65.728,342.26,4.2,System Normal
2004-01-05 04:50:00,42.153,2702.6,74.757,120.39,0.35066,80.283,65.781,341.66,15.23,System Normal
2004-01-05 04:51:00,42.231,2703.2,74.684,120.4,0.35201,80.159,65.803,342.55,9.7,System Normal
2004-01-05 04:52:00,42.23,2702.1,74.241,120.41,0.34103,80.134,65.8,342.79,16.39,System Normal
2004-01-05 04:53:00,42.261,2704.5,75.527,120.41,0.34185,80.251,65.808,342.0,3.03,System Normal
2004-01-05 04:54:00,41.999,2705.8,74.531,120.41,0.333,80.287,65.809,342.41,1.03,System Normal
2004-01-05 04:55:00,42.086,2706.8,74.615,120.38,0.33328,80.255,65.868,342.49,7.12,System Normal
2004-01-05 04:56:00,42.203,2707.3,74.403,120.39,0.33721,80.144,65.84,342.99,7.36,System Normal
2004-01-05 04:57:00,42.44,2707.5,73.675,120.4,0.33855,80.033,65.796,342.78,4.92,System Normal
2004-01-05 04:58:00,42.329,2707.0,74.302,120.4,0.34558,79.899,65.728,342.63,2.2,System Normal
2004-01-05 04:59:00,42.114,2709.9,74.642,120.42,0.34362,80.149,65.716,342.22,19.12,System Normal
2004-01-05 05:00:00,42.169,2709.5,73.894,120.41,0.34583,80.169,65.78,342.54,4.66,System Normal
2004-01-05 05:01:00,42.176,2711.1,74.699,120.39,0.34939,80.081,65.727,342.96,15.47,System Normal
2004-01-05 05:02:00,42.661,2710.8,74.537,120.41,0.32722,79.986,65.711,342.97,1.22,System Normal
